feature_id,R187,R224,R229,R239,R252,R269,R279,R284,R300,R306,R308,R310,R314,R326,R333,R335,R338,R346,R363,R370,R373,R374,R375,R392,R396,R409,R411,R415,R424,R426,R186,R217,R218,R225,R233,R260,R266,R267,R288,R290,R297,R319,R353,R354,R369,R391,R416,R419,R428
Q9H871,3648.176667,3582.67,3813.875,4159.163333,2413.756667,3660.695,2812.696667,3146.29,2392.463333,1778.565,3121.106667,3028.015,1821.87,2669.845,3190.365,3107.19,3088.683333,2834.68,2660.125,2553.65,3161.925,2715.04,2851.73,2080.86,1504.99,2895.566667,2939.645,2124.71,621.427,1690.1,2937.81,1914.915,2640.813333,1860.666667,2466.765,1712.55,2838.58,1161.07,2527.92,3731.425,3271.915,3149.856667,2364.095,2590.923333,2117.015,3098.506667,2847.68,3582.54,1634.89
Q9H875,2029.47,1345.945333,1312.509667,2211.23,2038.92,2509.093333,1302.005,1768.37,1664.755,2486.645,2025.39,2041.3,NA,1708.37,1438.695,1245.7345,1619.3,NA,2879.76,1231.13,1506.866667,1709.3195,NA,1281.15,NA,1734.8,1735.74,1557.432,1486.091667,NA,2083.145,1528.5355,1796.106667,589.979,1816.563333,3272.085,1786.676667,2311.8,1346.1675,2063.933333,2067.667,961.014,695.65,973.42,NA,1365.267,1893.416667,1384.5,3220.37
Q9H8E8,NA,NA,2489.65,4640.31,3067.203333,3532.8,2134.06,2440.555,NA,3940.68,NA,12421.7,NA,2139.61,2726.93,4484.66,2687.08,NA,1488.2,5454.025,3327.38,3780.75,NA,NA,2259.2,NA,2812.29,2753.94,NA,NA,5289.965,5677.27,NA,8006.5,2117.105,3775.21,2928.02,2361.12,3495.865,6905.96,4187.01,3134.03,2879.39,2785.055,5010.91,2324.43,4079.195,2049.07,3332.48
Q9H8G2,1264.286333,2066.933333,1572.522667,1838.957667,2027.15,1634.333333,1437.769,1296.161667,1471.023333,1489.518667,1421.875667,1576.03,1745.143667,1739.243667,1243.293,802.0973333,528.739,1157.0445,892.7083333,1213.619667,881.7263333,1411.654,1502.076667,1059.857333,609.7515,2416.983333,2129.35,1845.313333,1006.499,987.3443333,1670.528667,1876.406667,1264.749667,1350.385333,1769.53,1686.64,1083.383667,1395.718333,2361.003333,1454.385,2112.56,1791.31,921.4596667,1030.726667,1835.213333,1101.071333,1079.606333,1807.713333,1237.354
Q9H8H0,15580.73333,10730.16667,12038.9,10717.92,8917.97,12691.7,14831.23333,12359.9,15056.93333,11143.72667,9904.483333,12526.2,13339.4,9693.116667,10541.31667,10265.49667,10415.75667,13476.2,9630.976667,9869.996667,11176.03333,10762.25667,14604,11260.08333,9489.71,9766.526667,12845.76667,12702.13333,12534.16667,10144.97667,11657.75667,11559.93333,12005.43333,12203.56667,10974.66,10240.39333,12530.5,9851.636667,9017.866667,11170.28667,11065.24,9085,9272.056667,9791.736667,12675.73333,11146.1,11533.13333,8302.683333,12415.53333
Q9H8H2,4892.97,3694.503333,3987.873333,4616.896667,3732.38,4936.656667,5377.6,3462.783333,5250.193333,5261.93,4098.816667,3854.765,4604.34,4227.42,4506.97,5994.67,4001.296667,4674.785,3351.293333,3981.81,4290.293333,5455.966667,4744.873333,3673.836667,2596.71,4620.586667,4357.616667,3392.283333,4507.26,4520.023333,4357.846667,4962.936667,4047.666667,3555.176667,4673.43,3957.24,4767.62,3960.956667,4715.646667,4712.876667,4845.606667,4060.96,4298.166667,4278.066667,4151.853333,4344.39,6227.896667,4841.65,2902.96
Q9H8H3,99835.93333,49700.43333,71259.1,70487.86667,54593.7,68546.1,102464.9667,65072.33333,89756.3,85006.6,76065.3,57658.5,61956.43333,73630.06667,46583.8,69057.93333,84378.66667,73507.5,57057.96667,57995.7,84879.2,88053.03333,75194.1,88594.96667,56186.23333,62626.8,49003.16667,93915.5,80500.83333,107740.5,80743.36667,58489.96667,57636.4,62519.86667,64595.5,64492.6,64767.13333,51768.13333,62057.33333,78677.43333,74584.46667,62808.76667,104982.8667,78835.13333,79196.13333,63783.63333,60916.83333,24918.93333,46854.7
Q9H8M1,6140.763333,4644.41,2130.893333,4374.706667,3639.26,3210.25,5153.043333,4229.45,5428.616667,3533.16,2607.01,2191.99,6550.64,4696.843333,2466.426667,3748.1,6117.56,5887.71,3126.913333,3252.335,2757.513333,4280.446667,2351.98,3256.806667,1765.28,3369.166667,2710.486667,6030.5,4412.575,2804.68,4595.18,3708.595,5407.933333,3933.423333,4209.903333,2793.733333,2841.433333,1760.086667,5299.386667,2889.42,4029.203333,4317.456667,4832.01,3904.253333,4697.64,3047.313333,2782.103333,2659.906667,3711.013333
Q9H8M2,888.904,1675.47,680.9536667,1343.886667,1222.909333,1156.961,1228.83,1317.07,918.3853333,1382.944,1417.192333,NA,1246.853333,1780.465,1029.570667,1646.45,671.7635,1143.339333,1258.164,1870.685,736.097,1149.199333,2186.49,1180.010333,NA,1007.69,1320.893333,877.9943333,696.897,504.368,1599.04,814.435,725.434,1257.946333,939.008,1455.49,840.125,977.648,1162.175667,1114.427667,1159.724333,850.6845,1067.87,1007.3985,1003.6445,1317.176667,819.5335,1330.1285,1459.45
Q9H8M5,116.111,437.29,389.7526667,258.7015,465.7145,547.653,253.569,230.978,259.535,212.8775,295.0336667,244.572,586.79,540.185,399.7435,548.864,686.298,239.252,949.784,654.603,762.801,478.5033333,907.041,598.938,NA,425.6545,504.903,529.7453333,321.02395,613.026,215.5018,537.4645,210.3245,256.126,687.4405,797.663,NA,161.677,531.056,436.1765,660.703,581.4496667,901.778,625.236,915.26,699.5233333,449.6403333,1029.74,443.178
Q9H8M7,1397.02,1414.6,657.3523333,1373.043333,2046.096667,1536.335,2211.36,1496.61,1033.990333,1093.65,975.2166667,664.8045,899.9755,913.077,1295.706333,1520.766667,869.6495,1318.486667,1045.925667,1424.89,1000.383667,1245.818333,1393.781333,953.484,NA,1418.816667,796.2896667,901.741,1052.27,NA,1370.163333,1830.26,911.0263333,2257.08,1653.196667,1278.175,1189.301,1105.46,1305.308,1568.393333,1174.855667,971.1985,993.2936667,1151.515,1875.18,1081.731667,1429.635,1478.775,803.306
Q9H8T0,2500.133333,2040.31,2405.403333,3193.503333,2398.206667,2200.24,1756.006667,1750.49,3277.946667,2661.466667,1982.936667,3083.12,2416.99,2246.586667,2435.546667,2704.233333,1767.646667,2413.843333,2358.373333,3315.243333,2064.833333,2545.383333,3823.39,2634.433333,NA,2316.653333,1928.236333,2201.723333,2369.306667,2257.29,2815.41,3033.866667,3207.423333,3240.176667,3261.29,2748.27,2907.13,1900.456667,3448.15,3630.873333,2595.76,2836.403333,2414.973333,3045.406667,2680.676667,2840.243333,2311.646667,2221.418333,2505.385
Q9H8W4,12743.9,14400.96667,11925.6,13920,13690.83333,13210.8,12016.03333,13665.06667,11583.3,10749.62,11258.96667,12673.4,12817.93333,11821.43333,13881.76667,10180.92667,14623.56667,13576.43333,14393.63333,14772.3,11653.5,12188.97667,8799.153333,12602.43333,10237.01333,11198.10333,12441.3,11461.66667,11090.31667,11646.25667,12740.93333,9663.033333,12733.56667,11569.63333,12706.5,13441.5,11404.83333,14045.16667,11245.49667,13461.6,10466.42667,13736.53333,10979.18,12547.7,11598.83333,12720.86667,10561.36,9263.156667,13343.7
Q9H8Y5,3241.91,3329.946667,2636.693333,2842.526667,4690.236667,3248.973333,3360.183333,2936.29,2865.143333,2894.706667,2668.713333,2818.23,2902.883333,3321.306667,3894.016667,2722.526667,2867.975,3642.675,3535.73,3144.166667,2869.56,3394.533333,2902.955,2994.033333,1488.53,3942.356667,3147.873333,2759.97,3586.093333,NA,4436.893333,2096.056667,3080.563333,3561.063333,4426.066667,2665.995,2217.105,2970.616667,3285.036667,3171.635,2824.606667,3845.19,NA,1930.16,3514.65,2810.37,2833.986667,3077.326667,4019.16
Q9H8Y8,59517.66667,72725.76667,74543.36667,61433.06667,67778.56667,62096.9,51711.26667,66080.6,61207.3,62154.3,69410.8,51502.5,51211.96667,62874.6,71623.46667,54598.3,58344.7,64095.66667,74994.63333,64979.3,70220.4,69885.63333,61657.2,69775.16667,48138.83333,69922.53333,60486.36667,74006,57963.36667,77325.53333,64172.83333,61171.73333,65550.4,61736.36667,73023.1,57401.83333,72135.16667,58908.16667,75573.5,62282.83333,69948.16667,54623.03333,62092.2,67473.3,62921.4,67251.4,76468.5,60060.43333,54923.2
