Image,Freq
HPAP-069_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,7874
HPAP-069_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI4.ome.tiff - Image0,8847
HPAP-069_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,8199
HPAP-069_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,7897
HPAP-069_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI5.ome.tiff - Image0,8522
HPAP-069_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,6296
HPAP-069_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,6183
HPAP-074_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,8632
HPAP-074_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,6412
HPAP-074_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,5811
HPAP-074_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,6180
HPAP-074_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI4.ome.tiff - Image0,5441
HPAP-074_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI5.ome.tiff - Image0,5437
HPAP-075_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,7751
HPAP-075_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,7243
HPAP-075_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI4.ome.tiff - Image0,7750
HPAP-075_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,8548
HPAP-075_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,8179
HPAP-075_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,8642
HPAP-075_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,8300
HPAP-075_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,16548
HPAP-075_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI6.ome.tiff - Image0,14519
HPAP-080_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,8562
HPAP-080_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,8128
HPAP-080_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,7763
HPAP-080_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,16626
HPAP-080_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,14774
HPAP-080_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,8424
HPAP-082_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,7107
HPAP-082_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI4.ome.tiff - Image0,6931
HPAP-082_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,7072
HPAP-082_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,7131
HPAP-082_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,6789
HPAP-082_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,7157
HPAP-082_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,6776
HPAP-082_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI5.ome.tiff - Image0,6843
HPAP-093_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,8859
HPAP-093_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,10292
HPAP-093_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI6.ome.tiff - Image0,9285
HPAP-093_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,9129
HPAP-093_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,9239
HPAP-093_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI5.ome.tiff - Image0,8792
HPAP-093_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,9813
HPAP-093_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,8945
HPAP-093_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,9230
HPAP-095_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,6445
HPAP-095_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,7700
HPAP-095_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI4.ome.tiff - Image0,7743
HPAP-095_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,7175
HPAP-095_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,7605
HPAP-095_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,7425
HPAP-095_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,7444
HPAP-095_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,7483
HPAP-095_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI5.ome.tiff - Image0,7187
HPAP-099_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,11258
HPAP-099_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,14093
HPAP-099_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,9544
HPAP-099_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,10406
HPAP-099_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,10664
HPAP-099_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI4.ome.tiff - Image0,9035
HPAP-099_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,14336
HPAP-099_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,11973
