"","AL.oldAL1","AL.oldAL2","CR.oldCR1","CR.oldCR2"
"Gm13748",1,1,5,1
"Gm28981",5,3,3,6
"Creb1",165,81,129,289
"Mettl21a",5,4,9,15
"Gm28982",4,1,0,0
"Ccnyl1",30,18,14,69
"Fzd5",2,0,1,5
"Plekhm3",233,122,237,616
"D630023F18Rik",2,3,2,6
"Idh1",15,16,25,44
"Pikfyve",191,121,150,369
"Pth2r",0,0,1,2
"Map2",1832,1186,2068,5475
"Gm10558",8,1,3,5
"Unc80",1420,812,1218,3408
"Rpe",31,13,42,73
"Kansl1l",228,101,157,507
"Gm57189",20,11,3,30
"Acadl",52,34,40,99
"Lancl1",45,33,66,154
"Erbb4",4,5,9,5
"Gm29114",1,0,3,6
"Ikzf2",307,186,276,654
"Gm29112",5,0,3,9
"Gm28112",5,2,2,7
"Spag16",3,2,1,7
"Bard1",1,2,6,19
"Atic",17,13,23,57
"Fn1",1,0,0,0
"4933417E11Rik",2,1,5,25
"4930556G22Rik",4,3,6,20
"Mreg",129,57,98,322
"Gm57184",15,19,21,64
"Pecr",10,28,15,32
"Tmem169",6,5,3,7
"Xrcc5",154,91,137,392
"Marchf4",470,156,325,912
"Smarcal1",84,50,69,178
"Rpl37a",10,18,27,23
"Igfbp5",2,0,0,2
"6030407O03Rik",0,0,0,0
"Tns1",14,21,1,3
"Arpc2",115,123,135,278
"Aamp",27,12,18,65
"Pnkd",34,21,28,74
"Tmbim1",34,11,30,65
"Gm29358",1,2,9,3
"Catip",4,1,5,4
"Slc11a1",1,0,0,2
"Ctdsp1",16,11,11,34
"Vil1",246,125,190,499
"Usp37",243,106,161,587
"Cnot9",33,29,22,70
"Plcd4",1,5,8,14
"Zfp142",51,40,27,116
"Bcs1l",8,6,6,10
"Rnf25",66,39,59,137
"Stk36",19,11,21,45
"Ttll4",84,53,63,153
"Cyp27a1",2,0,3,2
"Wnt10a",0,0,0,0
"Gm16582",0,4,2,4
"Cdk5r2",2,1,1,5
"Fev",2,1,9,5
"Cryba2",25,18,31,82
"Cfap65",3,0,4,3
"Nhej1",22,18,20,49
"Slc23a3",4,1,3,1
"Cnppd1",18,10,13,37
"Retreg2",31,17,26,53
"Zfand2b",18,3,7,43
"Abcb6",3,2,2,9
"Atg9a",40,17,34,90
"Ankzf1",35,26,23,90
"Glb1l",34,13,34,56
"Stk16",40,21,32,87
"Tuba4a",32,6,34,107
"A630095N17Rik",0,0,0,3
"Dnajb2",107,40,78,236
"Ptprn",344,258,305,763
"Gm28294",21,4,13,29
"Resp18",158,132,210,352
"Gm28902",2,2,0,0
"Dnpep",13,19,12,34
"Des",0,0,0,2
"Speg",18,10,18,32
"Gmppa",59,64,59,205
"Asic4",0,0,1,0
"Chpf",7,10,12,36
"Obsl1",12,13,10,41
"Tmem198",21,12,14,61
"Inha",65,64,83,217
"Stk11ip",20,5,14,53
"Slc4a3",72,44,59,172
"Epha4",0,1,0,0
"Sgpp2",267,225,256,599
"Gm28410",2,0,2,4
"Farsb",62,59,64,175
"5730419F03Rik",0,0,2,0
"Acsl3",42,34,29,89
"Utp14b",36,28,27,63
"Gm29536",0,0,0,2
"Kcne4",0,0,0,0
"Scg2",1061,1009,1356,1843
"Ap1s3",143,80,127,325
"Wdfy1",103,60,73,235
"Mrpl44",2,2,0,7
"Serpine2",6,0,0,18
"Cul3",259,111,217,534
"1700016L21Rik",12,3,5,16
"Gm45261",0,0,0,0
"Dock10",431,144,143,653
"Nyap2",78,91,105,174
"Irs1",52,40,46,155
"Rhbdd1",124,68,137,330
"Gm28940",2,0,1,2
"Col4a4",4,0,3,11
"Col4a3",0,1,0,2
"C430014B12Rik",0,0,0,0
"Mff",65,37,71,134
"Gm28941",2,0,2,5
"Agfg1",434,251,489,1154
"A030005L19Rik",0,0,1,1
"Slc19a3",0,0,0,0
"Daw1",0,0,0,1
"Sphkap",1595,752,1058,3079
"4933436I20Rik",4,0,3,5
"Pid1",897,400,813,2232
"Dner",92,36,68,167
"Trip12",602,347,515,1312
"Fbxo36",53,25,82,121
"Slc16a14",1,0,0,0
"C130026I21Rik",0,3,3,1
"A530032D15Rik",0,0,0,0
"A530040E14Rik",0,0,0,0
"Gm7609",0,0,2,0
"Gm16028",0,0,1,1
"Gm16092",0,0,0,0
"Sp110",2,1,0,0
"Sp140",0,4,1,4
"Gm10552",0,0,0,0
"Sp100",1,0,0,0
"A630001G21Rik",1,0,0,0
"Cab39",147,72,147,342
"Itm2c",58,44,60,122
"4933407L21Rik",0,0,0,2
"Gpr55",0,3,0,0
"2810459M11Rik",2,0,1,2
"Psmd1",182,115,103,398
"Htr2b",0,0,2,0
"Armc9",175,134,125,447
"Gm16341",0,0,0,0
"Ncl",309,106,243,659
"C130036L24Rik",3,1,1,5
"Nmur1",0,0,0,1
"Gm57170",3,1,2,2
"Gm57144",1,2,0,2
"Ptma",541,176,423,1311
"Pde6d",68,42,54,143
"Cops7b",18,12,25,39
"Dis3l2",457,203,448,1081
"Gm29055",16,7,12,29
"Gm28375",14,9,18,28
"Eif4e2",49,38,53,140
"Efhd1",4,6,2,4
"Gigyf2",367,226,246,703
"Kcnj13",0,1,5,3
"Ngef",25,10,24,58
"Neu2",12,12,4,18
"Inpp5d",1,2,0,0
"Atg16l1",113,86,93,299
"Sag",6,11,12,29
"Dgkd",286,159,245,698
"Gm19582",0,0,1,0
"Usp40",124,115,105,326
"Gm20528",0,1,0,3
"Ugt1a7c",0,0,1,2
"Ugt1a6a",0,3,1,1
"Ugt1a5",1,0,0,3
"Dnajb3",1,0,0,3
"Mroh2a",3,0,1,2
"Hjurp",83,35,56,170
"Trpm8",0,0,0,1
"Arl4c",1,2,3,5
"Gm57145",2,0,0,0
"Sh3bp4",240,120,142,524
"Agap1",1887,849,1386,4302
"Gm41914",0,1,0,3
"Gm28499",0,0,0,1
"4933400F21Rik",6,2,5,16
"Asb18",0,1,0,0
"Ackr3",0,0,0,0
"Cops8",26,18,31,82
"Col6a3",1,0,0,0
"Mlph",9,12,9,42
"Rab17",1,0,1,4
"Lrrfip1",100,60,118,219
"Ramp1",42,15,37,131
"Ube2f",90,47,72,205
"Scly",293,192,229,731
"Gm17090",6,9,8,18
"Espnl",22,17,19,61
"Klhl30",0,0,2,3
"Erfe",0,1,1,3
"Ilkap",121,66,122,317
"Hes6",19,4,17,57
"Gm57139",0,0,0,1
"Per2",617,174,477,1724
"Traf3ip1",33,17,34,89
"Asb1",18,7,3,32
"Hdac4",307,168,199,713
"Gm35992",1,1,0,1
"Ndufa10",71,27,53,154
"Cops9",5,1,6,29
"Gpc1",2,0,3,6
"Ankmy1",0,2,6,8
"Dusp28",1,2,2,1
"5033417F24Rik",3,1,1,7
"Rnpepl1",52,25,28,128
"9430060I03Rik",2,6,1,2
"Capn10",28,11,20,68
"Gpr35",3,3,9,13
"Kif1a",467,234,401,1168
"Crocc2",0,0,0,3
"Sned1",42,19,34,76
"Mterf4",8,6,11,22
"Gm28535",0,2,0,3
"Pask",3,2,5,14
"Ppp1r7",35,22,28,86
"Ano7",3,1,0,1
"Hdlbp",554,436,472,1342
"Septin2",19,8,25,41
"Farp2",109,63,71,233
"Stk25",79,50,60,212
"Bok",1,0,6,7
"Thap4",29,15,14,52
"Gm10550",1,2,2,4
"Atg4b",67,54,67,195
"Dtymk",21,21,14,30
"Ing5",33,17,45,89
"D2hgdh",35,16,25,65
"Gal3st2",0,0,1,1
"Fam174a",37,16,20,70
"St8sia4",0,3,0,0
"Slco4c1",0,0,0,0
"Panct2",1,2,5,6
"ENSMUSG00000121413",0,1,0,2
"Macir",90,58,50,139
"Ppip5k2",112,80,103,261
"Gin1",27,19,21,69
"Pam",2108,1203,2217,5239
"B230216N24Rik",34,16,16,41
"1810006J02Rik",28,8,30,63
"Gm7967",68,32,119,188
"Cntnap5b",112,74,185,258
"Gm28187",12,13,4,28
"Cdh20",0,0,0,0
"Rnf152",2,1,13,14
"Gm28403",22,13,24,79
"Pign",154,70,143,299
"Gm28404",2,1,1,8
"Relch",311,166,292,690
"Tnfrsf11a",30,13,32,66
"Gm7160",51,18,51,106
"Zcchc2",476,167,322,960
"Gm20753",0,0,4,1
"Phlpp1",355,157,310,856
"Bcl2",41,28,36,101
"D630008O14Rik",0,0,0,0
"Kdsr",15,12,24,65
"Vps4b",127,83,138,322
"Serpinb8",0,0,0,0
"D830032E09Rik",1,0,0,1
"Cdh7",72,46,62,131
"Cdh19",0,0,0,0
"Dsel",7,4,5,7
"9330185C12Rik",17,0,1,3
"Cntnap5a",13,0,0,30
"Tsn",39,34,43,112
"Nifk",7,13,5,20
"Gm57162",0,0,2,4
"Clasp1",311,171,246,737
"2900060B14Rik",3,2,4,12
"Tfcp2l1",3,3,1,19
"Gli2",0,0,0,0
"Inhbb",0,0,0,0
"Ralb",28,15,17,54
"Gm27184",0,0,2,5
"Tmem185b",0,4,1,0
"Epb41l5",221,120,194,651
"Ptpn4",454,242,371,1026
"Tmem177",1,0,1,1
"Cfap221",0,0,0,0
"Sctr",0,0,0,0
"Tmem37",0,0,0,0
"Dbi",1,6,4,8
"3110009E18Rik",12,11,9,25
"Steap3",0,2,0,1
"2610027F03Rik",0,0,0,0
"Insig2",19,39,21,76
"Ccdc93",76,39,56,138
"Ddx18",33,40,41,135
"Dpp10",242,75,67,431
"Actr3",143,79,121,324
"Gm57176",0,0,0,0
"Slc35f5",144,79,113,339
"Gpr39",296,198,218,675
"Lypd1",0,0,1,2
"Nckap5",59,82,69,179
"Mgat5",319,172,308,868
"Tmem163",1755,1072,1242,4680
"2900009J06Rik",1,4,3,5
"Ccnt2",313,173,309,820
"Map3k19",11,19,40,73
"Rab3gap1",286,165,268,773
"Zranb3",57,30,54,155
"Gm28800",1,0,0,0
"R3hdm1",401,233,341,877
"Ubxn4",351,305,363,921
"Lct",3,0,3,7
"Mcm6",13,9,20,28
"Dars",78,72,89,160
"Cxcr4",0,0,0,0
"Thsd7b",3,8,1,5
"Gm15675",2,0,0,5
"Cd55",1,1,1,14
"Gm16083",9,3,3,12
"Pfkfb2",249,115,169,546
"Yod1",16,12,17,45
"AA986860",6,3,6,11
"Gm15848",1,2,1,0
"Pigr",12,13,30,48
"Fcmr",5,1,0,0
"Il10",0,0,0,0
"Mapkapk2",358,85,404,1015
"Dyrk3",17,10,9,41
"Eif2d",48,47,59,137
"Rassf5",11,4,6,36
"Ikbke",36,35,24,78
"Srgap2",125,76,139,288
"Gm29488",1,0,2,2
"Fam72a",0,1,0,1
"Avpr1b",0,0,0,6
"Ctse",1,0,0,0
"Rab7b",0,1,0,0
"Slc41a1",18,5,17,31
"Rab29",0,0,0,3
"Nucks1",73,34,71,174
"Elk4",59,30,69,152
"Mfsd4a",0,4,2,7
"Cdk18",15,14,11,29
"Nuak2",33,16,19,75
"F730311O21Rik",0,0,0,0
"Tmcc2",8,15,28,34
"Dstyk",95,53,78,209
"6030442K20Rik",8,6,14,24
"Rbbp5",27,29,20,87
"Tmem81",3,1,2,10
"Nfasc",597,402,490,1419
"Gm10538",0,0,0,0
"Lrrn2",52,37,46,109
"Mdm4",333,212,246,773
"Pik3c2b",11,7,3,21
"Gm28609",0,0,0,0
"Ppp1r15b",46,23,35,77
"Plekha6",865,488,825,2198
"Gm19461",26,18,31,59
"Golt1a",7,4,1,15
"Gm28040",0,0,0,2
"Etnk2",11,3,0,27
"Sox13",56,50,52,165
"Snrpe",1,6,5,14
"Zc3h11a",16,17,17,54
"Zbed6",170,84,165,457
"Lax1",5,4,6,14
"Atp2b4",275,155,271,737
"Gm28441",0,0,0,3
"Prelp",0,0,0,0
"Gm19497",2,4,3,6
"Btg2",549,361,390,1074
"Adora1",17,13,20,32
"Ppfia4",3,0,3,12
"Gm57107",5,0,1,9
"Tmem183a",50,29,43,132
"Cyb5r1",11,6,14,31
"Adipor1",59,38,99,204
"Platr1",2,0,3,10
"Klhl12",116,49,102,282
"Rabif",9,12,7,19
"Kdm5b",315,144,224,690
"Syt2",62,38,48,185
"Ppp1r12b",614,353,447,1373
"Gm28892",1,1,1,1
"Ube2t",3,4,0,7
"Lgr6",0,1,0,2
"Ptpn7",0,0,1,0
"Arl8a",47,22,30,81
"Gm15445",2,3,2,6
"Gm26642",1,0,0,1
"Elf3",24,7,10,37
"Rnpep",45,36,51,123
"Timm17a",17,10,21,45
"Lmod1",0,0,0,0
"Shisa4",1,1,1,4
"Ipo9",119,71,109,262
"Gm28277",0,0,0,2
"Nav1",285,233,187,593
"Gm4793",0,0,4,0
"Gm57161",0,0,0,0
"Csrp1",34,11,24,62
"Phlda3",0,1,1,1
"Lad1",2,2,1,0
"Tmem9",9,11,13,34
"Kif21b",3,2,12,18
"Mroh3",1,2,0,2
"Inava",1,8,0,8
"Gm26781",0,1,0,2
"Camsap2",160,92,154,356
"9230116N13Rik",5,2,3,12
"Ddx59",4,5,3,11
"Kif14",0,0,0,3
"Zfp281",34,15,20,76
"Gm19705",12,6,6,24
"Nr5a2",1,3,1,7
"Gm4258",0,1,0,0
"Gm26930",0,0,0,0
"Ptprc",1,9,0,0
"Nek7",326,202,336,1039
"Gm28501",5,3,5,17
"2310009B15Rik",2,5,2,3
"Dennd1b",355,213,304,899
"Crb1",58,59,72,147
"Zbtb41",23,25,13,54
"Aspm",1,2,0,12
"Cfh",0,2,0,0
"Kcnt2",0,0,1,0
"4930590L20Rik",1,0,0,0
"Cdc73",243,139,228,534
"B3galt2",6,4,11,24
"Glrx2",11,12,9,27
"Ro60",119,65,88,216
"Uchl5",25,11,19,46
"Gm29170",3,0,1,3
"Rgs2",141,109,86,594
"Rgs13",0,0,0,2
"Rgs1",0,1,0,0
"Brinp3",0,0,0,0
"A230059L01Rik",0,0,0,1
"Pla2g4a",0,0,0,1
"Ptgs2",0,0,0,0
"Odr4",129,81,107,238
"Tpr",393,198,290,699
"Prg4",1,1,2,0
"Hmcn1",0,0,0,0
"Gm10138",8,23,17,29
"Ivns1abp",193,78,106,379
"Swt1",104,53,68,228
"Trmt1l",95,52,94,216
"Rnf2",32,26,34,66
"Niban1",6,16,5,16
"2810414N06Rik",3,0,0,0
"Edem3",117,98,111,301
"1700025G04Rik",66,37,60,171
"Tsen15",8,6,15,30
"Colgalt2",10,5,23,15
"Rgl1",506,302,370,1248
"Gm15479",1,1,0,6
"Gm28792",1,2,6,11
"Apobec4",7,6,7,17
"Arpc5",66,35,58,138
"Ncf2",2,3,0,2
"Smg7",199,144,148,509
"Gm28791",5,3,8,22
"Nmnat2",69,86,58,157
"Gm28960",1,1,1,2
"Lamc2",24,14,28,68
"Lamc1",114,55,88,227
"E330020D12Rik",0,0,0,1
"Shcbp1l",0,0,3,1
"Dhx9",212,106,185,495
"Npl",1,0,2,0
"Rgs8",26,9,25,21
"C230024C17Rik",7,1,6,9
"Rgs16",141,116,111,236
"Gm28513",3,0,1,0
"Rnasel",9,7,15,28
"Rgsl1",1,2,2,8
"Teddm2",8,2,22,19
"Glul",245,192,185,455
"A830008E24Rik",0,0,0,0
"Cacna1e",44,23,40,130
"Gm29282",0,0,0,3
"Gm9530",15,6,11,27
"Ier5",9,9,9,7
"Mr1",10,2,7,20
"Stx6",145,95,134,364
"BC034090",0,0,0,1
"Xpr1",362,192,331,1011
"Gm5532",1,1,0,0
"Acbd6",157,109,157,363
"Qsox1",31,33,36,142
"Gm37571",0,0,0,7
"Cep350",512,275,400,1139
"Tor1aip1",128,63,136,373
"Tor1aip2",186,99,176,384
"Fam163a",38,60,49,163
"Tdrd5",5,0,0,1
"Axdnd1",4,0,2,4
"Gm2000",4,1,1,1
"Soat1",66,56,88,181
"Abl2",246,146,135,474
"Tor3a",58,26,61,203
"Fam20b",71,40,86,191
"Ralgps2",141,73,102,300
"Angptl1",0,0,0,0
"4930439D14Rik",0,0,0,0
