,AL.oldAL1,AL.oldAL2,CR.oldCR1,CR.oldCR2
Slc11a1,3,1,1,0
Ctdsp1,37,44,33,72
Vil1,70,42,24,56
Usp37,975,696,1012,2446
Cnot9,118,154,147,282
Plcd4,10,17,17,32
Zfp142,136,217,124,264
Bcs1l,30,67,42,60
Rnf25,237,312,306,548
Stk36,69,75,83,121
Ttll4,205,251,177,359
Cyp27a1,7,14,17,9
Wnt10a,1,0,0,1
Gm16582,6,13,3,13
Cdk5r2,14,13,1,13
Fev,18,32,23,18
Cryba2,219,310,263,460
Cfap65,5,4,8,11
Nhej1,117,119,111,216
Slc23a3,6,6,4,19
Cnppd1,65,69,72,105
Retreg2,124,114,102,212
Zfand2b,47,61,30,102
Abcb6,14,11,16,26
Atg9a,100,107,85,203
Ankzf1,122,151,97,213
Glb1l,88,110,119,219
Stk16,132,153,132,268
Tuba4a,156,80,70,214
A630095N17Rik,6,1,0,4
Dnajb2,286,285,387,824
Ptprn,837,1187,823,1885
Gm28294,26,22,16,81
Resp18,973,846,1855,2214
Gm28902,1,2,0,3
Dnpep,99,140,88,192
Des,1,0,0,1
Speg,54,24,32,64
Gmppa,188,283,210,374
Asic4,2,2,3,7
Chpf,42,47,40,77
Obsl1,65,80,46,134
Tmem198,102,87,75,223
Inha,157,223,140,286
Stk11ip,69,58,56,103
Slc4a3,215,339,197,428
Epha4,12,33,15,15
Sgpp2,947,1375,981,1596
Gm28410,18,18,14,20
Farsb,345,440,353,791
5730419F03Rik,0,1,1,0
Acsl3,72,79,54,113
Utp14b,56,46,30,23
Gm29536,5,1,2,8
Kcne4,2,1,0,0
Scg2,1270,1983,2762,2525
Ap1s3,383,501,398,785
Wdfy1,417,441,396,762
Mrpl44,7,13,4,15
Serpine2,32,35,47,107
Cul3,1392,1134,1303,2821
1700016L21Rik,100,114,129,220
Gm45261,2,6,2,6
Dock10,534,398,72,309
Nyap2,28,14,12,57
Irs1,122,133,108,253
Rhbdd1,446,499,521,1132
Gm28940,4,8,11,17
Col4a4,21,8,23,34
Col4a3,9,8,1,2
C430014B12Rik,3,0,0,1
Mff,305,307,370,705
Gm28941,4,7,4,12
Agfg1,1692,1583,1712,3616
A030005L19Rik,1,6,2,4
Slc19a3,1,1,3,5
Daw1,2,5,4,6
Sphkap,7805,7755,5542,13390
4933436I20Rik,5,12,11,13
Pid1,1559,1807,1563,2832
Dner,263,170,231,287
Trip12,2408,2179,2152,4495
Fbxo36,273,360,312,585
Slc16a14,4,2,3,6
C130026I21Rik,15,14,7,11
A530032D15Rik,10,1,0,1
A530040E14Rik,1,1,0,0
Gm7609,0,1,1,2
Gm16028,0,2,0,0
Gm16092,6,2,1,4
Sp110,21,13,0,1
Sp140,18,17,10,18
Gm10552,6,1,2,4
Sp100,86,81,0,4
A630001G21Rik,23,23,0,3
Cab39,561,565,508,1215
Itm2c,326,297,463,707
4933407L21Rik,0,0,0,1
Gpr55,1,3,3,0
2810459M11Rik,7,3,0,6
Psmd1,469,660,519,1036
Htr2b,2,7,5,3
Armc9,654,876,720,1228
Gm16341,6,3,1,4
Ncl,1047,693,885,1694
C130036L24Rik,15,11,12,31
Nmur1,0,0,1,2
Gm57170,7,9,14,12
Gm57144,3,5,4,3
Ptma,1556,745,1116,2906
Pde6d,160,247,252,431
Cops7b,72,106,63,122
Dis3l2,1420,1491,1646,2856
Gm29055,35,38,36,59
Gm28375,57,75,67,113
Eif4e2,291,233,298,641
Efhd1,1,1,0,0
Gigyf2,1470,1599,1315,2677
Kcnj13,11,15,18,31
Ngef,56,76,90,80
Neu2,22,37,26,56
Inpp5d,105,107,0,23
Atg16l1,433,505,461,876
Sag,20,21,16,44
