,AL.oldAL1,AL.oldAL2,CR.oldCR1,CR.oldCR2
Fhod1,20,26,12,37
Slc9a5,9,5,7,15
Kctd19,2,3,8,14
Lrrc36,333,312,474,802
Tppp3,72,35,64,148
Zdhhc1,463,571,493,823
Atp6v0d1,726,713,878,1807
Gm38250,21,46,45,21
Agrp,25,37,28,40
Ripor1,167,210,119,258
Gm5914,9,7,4,8
Ctcf,733,658,522,1245
Carmil2,15,15,8,21
Acd,30,36,30,81
Pard6a,28,15,41,59
Enkd1,18,24,11,22
Gfod2,212,344,288,523
Ranbp10,474,525,404,772
Tsnaxip1,5,5,8,3
Cenpt,7,19,12,37
Thap11,7,16,8,9
Nutf2,19,48,22,39
Edc4,162,155,101,266
Nrn1l,2,1,0,3
Pskh1,89,131,148,236
Ctrl,0,0,2,3
Gm16156,7,5,9,14
Psmb10,2,9,5,5
Lcat,0,1,1,0
Slc12a4,19,28,12,24
Dpep2,0,0,0,1
Dus2,88,133,92,147
Ddx28,7,5,5,5
Nfatc3,580,609,472,874
Esrp2,10,11,10,21
1810019D21Rik,10,7,12,8
Pla2g15,26,36,21,53
Slc7a6,235,354,229,482
Slc7a6os,209,208,328,472
Prmt7,195,273,184,398
Smpd3,420,576,384,691
Gm10629,12,7,14,18
Zfp90,106,120,98,191
1110028F18Rik,1,0,5,5
Cdh1,459,651,468,734
Tango6,289,392,263,632
Has3,5,6,1,7
Chtf8,3,5,6,4
Utp4,211,182,182,445
Sntb2,336,352,276,520
Gm16208,0,0,1,1
Vps4a,66,95,79,126
Pdf,3,5,4,5
Cog8,87,133,100,183
Nip7,59,47,36,87
Tmed6,8,1,4,10
Terf2,448,529,327,831
Cyb5b,317,460,286,591
4930517G24Rik,3,1,1,5
Nfat5,3006,2798,2860,5614
Nqo1,15,7,6,23
Nob1,109,149,150,198
Wwp2,808,788,793,1528
Psmd7,171,251,153,309
Zfhx3,1306,1601,1151,2266
Gm20686,0,0,3,4
D030068K23Rik,5,0,0,2
Pmfbp1,0,0,0,0
Dhx38,128,110,83,173
Txnl4b,6,7,8,5
Dhodh,20,32,39,58
Pkd1l3,8,4,6,10
Ist1,360,371,334,866
Zfp821,192,228,206,385
Atxn1l,82,99,102,222
Ap1g1,1160,1289,1118,2689
Gm17344,19,28,18,27
Phlpp2,385,311,318,745
Marveld3,181,303,176,397
Tat,48,114,69,122
Zfp612,876,572,871,1973
Cmtr2,13,22,14,21
Hydin,31,12,58,73
Vac14,276,352,226,492
Mtss2,408,468,398,976
Il34,12,10,10,39
Sf3b3,365,510,438,751
Cog4,359,497,373,761
Fcsk,35,41,31,46
St3gal2,117,100,77,138
Ddx19a,194,168,159,392
Ddx19b,127,127,133,266
Aars,485,162,361,867
Clec18a,3,0,1,0
Pdpr,198,182,205,475
9430091E24Rik,76,109,104,187
Glg1,1668,1879,1599,3566
Gm56868,4,1,7,7
Rfwd3,180,141,132,211
Mlkl,27,34,24,56
Fa2h,14,2,14,13
Wdr59,554,751,485,1084
Gm56848,27,14,32,55
Znrf1,1208,1355,758,1884
Ldhd,64,37,42,75
Gm56859,0,2,4,8
Zfp1,270,238,279,616
Ctrb1,3,20,2,7
Bcar1,265,351,237,487
Cfdp1,662,824,572,1250
Tmem170,47,60,51,89
Chst5,1,1,2,3
Tmem231,43,49,42,65
Gabarapl2,343,244,341,688
Adat1,170,217,122,322
Kars,77,65,63,95
Terf2ip,91,79,108,144
Cntnap4,3,6,0,3
Gm45904,0,0,0,2
Mon1b,17,22,19,34
Syce1l,3,6,5,7
Adamts18,3210,4266,3354,7582
Nudt7,77,167,144,179
Vat1l,1826,1706,1671,3067
4933408N05Rik,9,10,12,22
Wwox,7047,9244,7313,14201
Gm16116,1,4,3,1
Gm16118,1,1,2,2
Maf,20,21,1,1
Gm45733,1,2,1,6
Dynlrb2,18,44,41,28
Cdyl2,628,688,595,1014
Cmc2,29,33,21,33
Cenpn,8,4,9,19
Atmin,35,55,34,47
1700030J22Rik,14,11,14,15
Gcsh,42,31,26,65
Pkd1l2,1,1,2,4
Bco1,12,11,17,34
Gm56860,1,4,7,10
Gan,131,145,133,300
Cmip,3800,4665,2955,6676
Gm56878,93,131,99,166
Plcg2,121,129,114,142
Sdr42e1,7,16,18,29
Mphosph6,85,137,92,181
Cdh13,40,30,85,109
Hsbp1,23,27,39,41
Mlycd,130,141,150,281
Gm32006,0,2,2,2
Osgin1,25,37,42,42
Necab2,49,93,80,155
Slc38a8,5,1,1,6
Mbtps1,416,395,388,854
Hsdl1,48,65,59,77
Dnaaf1,3,2,2,2
Taf1c,60,70,56,74
Wfdc1,2,1,1,0
Atp2c2,4,1,2,3
Meak7,15,20,14,24
Cotl1,279,206,148,339
Klhl36,35,54,49,83
Usp10,330,390,337,621
Crispld2,2,4,1,1
Zdhhc7,77,86,55,134
A130014A01Rik,20,46,17,35
6430548M08Rik,137,236,118,235
Cibar2,60,67,52,90
A330074K22Rik,3,2,3,2
Gse1,2220,2404,1369,3012
Gm56871,7,2,2,2
Gm56858,7,4,3,3
Gm26971,2,3,0,4
Gins2,20,31,15,49
Gm10614,19,15,16,31
Gm26739,6,5,5,17
1190005I06Rik,14,16,13,42
Emc8,77,111,62,160
Cox4i1,117,169,153,290
Irf8,30,13,1,3
Fendrr,2,7,3,16
Foxf1,0,2,2,7
Mthfsd,171,235,173,309
Foxc2,1,0,0,0
Fbxo31,83,113,53,116
Map1lc3b,197,175,196,415
Zcchc14,590,524,450,961
Gm27030,3,0,2,1
Jph3,181,209,140,275
Klhdc4,92,127,58,141
Gm20406,12,1,5,15
Gm42047,1198,1236,1462,1624
Gm26812,24,19,20,26
Slc7a5,194,161,147,495
BC048644,0,3,1,3
Banp,672,616,324,755
Zfp469,3,3,5,0
Zfpm1,31,53,29,55
Gm45353,0,1,1,3
Zc3h18,427,434,338,741
Cyba,19,16,2,1
Mvd,8,20,4,8
9330133O14Rik,9,15,17,11
Rnf166,114,102,76,223
Gm56876,4,1,1,4
Ctu2,37,25,33,74
Piezo1,13,17,1,19
Cdt1,8,5,2,5
Aprt,32,19,18,45
Galns,245,217,210,513
Trappc2l,22,33,45,52
Pabpn1l,0,0,0,1
Cbfa2t3,571,520,237,660
C230057M02Rik,0,0,0,0
Gm39271,2,1,1,1
Acsf3,110,127,84,177
Gm45894,24,11,9,25
Ankrd11,3278,3079,2398,5467
2810013P06Rik,53,117,135,101
Spg7,208,251,174,405
Rpl13,295,645,451,429
Cpne7,6,7,3,4
Gm4316,1,2,2,3
Chmp1a,56,70,43,103
Spata33,0,7,10,13
Cdk10,103,146,94,169
Spata2l,14,9,13,22
4933417D19Rik,17,24,7,25
Vps9d1,74,82,90,133
Zfp276,50,91,40,86
Fanca,9,6,1,11
Spire2,221,238,235,430
Tcf25,1962,2519,2114,4568
Mc1r,1,0,1,11
Tubb3,35,34,20,79
Def8,123,251,82,232
Afg3l1,403,408,387,829
Dbndd1,5,17,6,23
Gas8,69,80,66,98
Rhou,745,811,866,2301
Gm45781,2,3,3,5
6030466F02Rik,5,7,5,8
4732419C18Rik,43,107,56,123
Gm45866,6,22,6,25
Rab4a,97,99,104,196
2810455O05Rik,5,3,5,11
Ccsap,83,23,71,171
Acta1,1,1,0,2
Gm29773,0,2,0,2
Nup133,170,131,149,337
Gm45890,18,22,20,19
Abcb10,332,283,244,549
Taf5l,217,152,138,362
Urb2,75,79,71,122
Gm45732,4,2,4,10
Galnt2,1061,1414,1012,2207
Gm15775,6,10,15,26
Pgbd5,392,635,273,649
Cog2,270,417,286,674
Agt,32,54,72,115
Capn9,10,10,9,16
2310022B05Rik,132,248,106,192
Ttc13,265,302,205,444
Arv1,89,141,113,161
Fam89a,17,25,8,32
Trim67,98,76,50,240
2810004N23Rik,157,282,166,263
Gnpat,196,242,218,336
Exoc8,13,19,8,14
Sprtn,57,65,38,82
Gm45709,6,1,5,3
Egln1,312,308,227,437
Tsnax,145,242,161,306
Disc1,176,170,170,275
Sipa1l2,593,435,573,1179
4930567H12Rik,6,8,13,22
Map10,10,18,12,29
Ntpcr,21,30,20,27
Pcnx2,16,18,15,29
Map3k21,299,315,316,540
Kcnk1,393,336,299,771
Slc35f3,42,32,33,77
Coa6,7,15,15,14
Tarbp1,94,90,64,166
Gm26759,34,68,50,80
Irf2bp2,493,489,578,855
Gm56824,4,5,6,20
Gm56842,12,15,22,16
Gm45805,24,20,21,45
Gm31718,53,41,31,64
A630001O12Rik,8,0,2,8
Tomm20,205,167,170,352
Rbm34,126,162,109,188
Pard3,1855,2172,1078,2573
Gm53207,56,89,105,105
Nrp1,305,260,112,387
Gm56862,7,2,2,5
Itgb1,627,630,718,1413
Ccdc7a,2,3,3,9
Ccdc7b,2,1,2,6
2610044O15Rik8,55,79,73,118
Gm32856,35,76,39,66
Alkbh8,230,242,213,385
Cwf19l2,839,800,772,1599
Gucy1a2,1051,638,826,1327
Aasdhppt,53,102,80,138
Kbtbd3,148,196,165,298
Msantd4,41,73,31,52
Gria4,11,29,8,21
Casp1,4,5,0,0
Casp4,17,22,0,1
Casp12,0,0,0,0
Pdgfd,733,1943,1390,1915
Ddi1,1,3,1,4
Dync2h1,3758,3091,3305,6783
Dcun1d5,288,430,319,597
Mmp13,1,0,1,5
Mmp12,1,6,0,0
Tmem123,312,233,407,740
Birc2,415,437,535,1045
Birc3,274,161,236,365
Yap1,144,208,158,312
Gm45494,2,4,6,3
Cfap300,35,49,34,76
Cep126,633,546,673,1211
1700018P22Rik,8,6,8,13
Trpc6,2,2,0,0
Pgr,5,3,2,5
Arhgap42,11,5,1,2
Gm46102,6,1,1,6
Cntn5,6,11,1,5
Jrkl,17,34,29,26
Ccdc82,342,337,417,784
Maml2,4596,5224,3526,9282
Gm17571,2,1,3,8
Mtmr2,439,459,387,896
Cep57,653,486,657,1313
Fam76b,736,901,790,1659
Gm47557,8,8,14,21
Gm47565,1,3,4,2
Gm34069,4,9,3,19
Sesn3,1691,2067,1775,3371
Gm47326,1,1,6,9
Endod1,24,43,22,42
Kdm4d,34,38,59,50
Cwc15,88,103,135,203
Amotl1,471,783,495,885
Piwil4,3,2,2,9
Fut4,2,6,1,0
Ankrd49,36,73,57,70
Mre11a,219,251,222,366
Gm16302,3,3,1,4
Gpr83,1,2,1,0
Panx1,18,12,7,18
Vstm5,7,6,18,14
Med17,167,187,184,325
4931406C07Rik,84,122,101,168
Taf1d,397,515,405,722
Cep295,286,289,208,509
Gm16568,1,3,2,2
Smco4,27,48,34,42
Deup1,8,10,8,9
Slc36a4,209,233,256,601
Fat3,18,48,12,26
Chordc1,245,401,250,427
Naalad2,2,3,3,6
Zfp558,15,26,20,31
Muc16,5,0,0,2
Zfp317,182,214,181,388
Zfp560,61,116,108,112
Zfp26,192,224,181,368
Zfp426,227,383,296,577
Zfp266,462,836,693,1291
Zfp846,94,129,109,189
Fbxl12os,7,29,21,29
Fbxl12,324,381,399,724
Ubl5,66,70,88,133
Pin1,57,62,36,112
Olfm2,2,12,9,8
Col5a3,0,1,1,0
Shfl,328,329,260,493
Angptl6,10,4,9,13
Ppan,87,93,87,151
Eif3g,20,40,31,57
Dnmt1,178,194,113,209
S1pr2,2,2,0,3
Mrpl4,85,59,80,137
Icam1,6,3,5,8
Zglp1,4,6,4,20
Fdx2,37,53,34,79
Raver1,203,226,224,505
1700084C06Rik,66,160,132,240
Tyk2,133,162,152,299
Cdc37,116,189,167,264
Pde4a,26,69,20,51
Gm16754,2,2,2,4
Keap1,120,187,119,235
Atg4d,75,102,96,172
Kri1,129,204,129,258
Cdkn2d,23,27,17,40
Ap1m2,129,150,141,282
Slc44a2,81,95,70,109
Gm36198,21,52,59,84
Ilf3,600,618,584,1181
Gm16853,21,29,26,70
Qtrt1,180,174,191,388
Dnm2,1379,1500,1064,2271
Tmed1,15,16,21,37
AB124611,13,16,5,5
Carm1,243,329,207,446
Yipf2,77,136,110,193
Timm29,35,32,28,79
Smarca4,1210,1379,904,1846
Gm26511,0,7,5,11
Ldlr,446,510,504,802
Spc24,13,24,18,30
Kank2,54,54,47,100
Dock6,381,426,304,598
Angptl8,0,1,4,5
Rab3d,41,58,43,65
Tmem205,9,36,36,50
Ccdc159,97,98,57,125
Plppr2,117,108,86,208
Swsap1,7,15,14,13
Rgl3,178,263,151,266
Odad3,17,14,4,15
Prkcsh,111,173,113,264
Elavl3,7,0,3,18
Zfp653,128,85,131,313
Gm16845,37,51,68,106
Ecsit,97,125,126,201
Elof1,33,38,36,84
Acp5,7,4,0,0
Pigyl,0,8,7,14
Zfp872,8,25,5,17
1810064F22Rik,3,1,1,14
Zfp809,168,287,215,410
Zfp599,11,21,15,25
Zfp810,351,478,392,661
Anln,13,9,36,72
Rp9,669,578,772,1359
9530077C05Rik,142,181,220,419
Bbs9,1622,1638,1514,2914
Bmper,1,5,3,1
Npsr1,2,1,3,8
Dpy19l1,137,191,134,289
Gm47772,3,1,4,3
Herpud2,251,373,273,470
Gm29642,57,105,71,93
9130004C02Rik,5,11,11,6
Septin7,726,748,688,1494
Eepd1,180,195,131,251
B3gat1,9,22,12,24
Glb1l2,301,488,375,661
Acad8,168,206,203,342
Thyn1,26,56,67,87
Vps26b,118,149,109,242
Ncapd3,568,447,426,939
Jam3,199,205,165,365
Gm48796,15,8,21,36
Igsf9b,231,292,187,355
Opcml,78,9,2,29
Ntm,231,341,113,322
Gm15520,1,0,0,0
Snx19,228,350,255,440
Adamts15,4,1,0,1
Adamts8,3,2,5,11
Gm29724,73,106,85,172
4930421P22Rik,7,5,13,7
Zbtb44,282,441,326,536
St14,186,264,168,315
Aplp2,1115,1202,1098,1841
4930517E14Rik,1,3,3,1
Prdm10,546,621,560,963
Nfrkb,444,411,354,767
Tmem45b,8,4,7,11
Barx2,16,5,8,8
Gm47465,8,22,16,39
Arhgap32,1644,1579,1548,3218
Gm39317,0,1,5,3
Fli1,106,78,0,15
Gm27201,3,5,0,0
Ets1,113,120,1,13
Gm3331,0,2,0,0
7630403G23Rik,0,3,0,0
Kirrel3,79,112,2,114
Kirrel3os,0,3,1,0
St3gal4,77,120,76,124
4930581F22Rik,151,274,177,183
Dcps,174,310,177,308
Tirap,14,33,16,35
Gm39318,3,1,1,4
Srpr,760,796,1053,1868
Foxred1,62,102,65,118
Fam118b,140,232,166,287
Rpusd4,17,14,21,42
Cdon,415,315,336,602
Ddx25,51,49,42,87
Pus3,23,63,31,62
Hyls1,24,34,23,38
Pate2,42,37,16,85
Chek1,70,34,45,131
Stt3a,812,849,878,1820
Gm26787,6,13,14,12
Ei24,147,206,194,306
Fez1,64,86,41,81
Pknox2,35,41,19,41
Tmem218,68,122,89,209
Slc37a2,10,16,14,23
Ccdc15,168,198,213,396
Gm34885,3,2,3,6
Hepacam,5,5,23,22
Robo4,6,9,0,1
Robo3,16,7,10,14
Msantd2,502,633,575,1088
Esam,32,52,23,64
Vsig2,5,6,7,13
Nrgn,0,3,1,7
Gm57038,0,9,2,9
Siae,97,102,116,196
Spa17,26,40,50,37
Tbrg1,394,405,414,932
Vwa5a,274,164,233,603
Or8b53,24,15,23,81
AW551984,26,11,14,45
Zfp202,28,38,29,57
Scn3b,111,110,139,215
Gramd1b,242,318,165,279
1700110K17Rik,166,214,233,350
Clmp,13,29,15,16
Gm48293,1,0,0,0
Gm57042,4,4,6,8
Hspa8,706,1415,428,755
Jhy,11,4,21,7
Crtam,3,3,0,5
Ubash3b,139,289,118,187
1700063D05Rik,4,8,9,1
Mir100hg,30,60,13,24
Sorl1,79,69,23,34
Sc5d,69,111,110,149
Gm10690,5,8,8,5
Tecta,2,2,1,9
Tbcel,465,509,544,977
Grik4,156,174,158,132
Arhgef12,2400,2408,2263,5332
Tlcd5,2,0,0,0
Pou2f3,1,2,3,1
Oaf,21,32,10,44
Gm30015,7,10,14,16
Nectin1,106,116,78,167
Gm30373,5,4,0,1
Thy1,4,3,0,1
Gm49380,14,25,17,43
Usp2,201,78,247,581
Rnf26,9,14,15,12
Mfrp,0,0,1,3
Gm26737,3,3,0,9
Gm10687,0,0,0,4
Mcam,8,4,2,8
Cbl,516,635,421,819
Nherf4,1,0,1,6
Nlrx1,20,32,27,34
Abcg4,4,0,0,16
Gm48604,22,23,20,39
Hinfp,126,169,159,258
C2cd2l,99,58,67,125
Dpagt1,80,113,86,136
H2ax,17,35,13,12
Hmbs,31,31,45,71
Vps11,211,188,253,405
Hyou1,418,621,348,788
Slc37a4,48,98,81,150
Trappc4,101,95,134,286
Rps25,95,153,120,192
Ccdc84,105,137,95,223
C030014I23Rik,0,9,7,0
Gm47204,3,4,5,8
Bcl9l,100,113,76,147
Cxcr5,13,15,3,9
Gm47230,8,9,10,8
Gm47232,5,3,2,0
Gm57017,2,4,5,4
Ddx6,1412,1450,1283,2602
Phldb1,56,56,34,84
Arcn1,965,954,1040,2442
Ift46,197,229,259,405
Tmem25,18,28,14,31
Ttc36,8,5,3,25
Kmt2a,5228,4436,3709,8158
Gm39326,99,63,75,138
Atp5l,228,250,267,465
Gm30934,4,3,9,5
Ube4a,551,707,601,1200
Mpzl3,33,40,57,113
Jaml,1,9,0,1
Scn2b,3,7,2,5
Tmprss4,10,13,4,12
Smim35,2,1,0,0
Il10ra,12,9,1,1
Fxyd6,93,152,105,146
Fxyd2,0,0,0,0
Dscaml1,4,1,1,0
Cep164,571,572,485,1022
Bace1,327,386,281,553
Gm16536,23,23,25,60
Rnf214,520,625,508,952
Pcsk7,309,353,266,692
Tagln,1,2,1,1
Gm48529,8,5,9,18
Sidt2,299,208,252,631
A830035O19Rik,10,8,8,17
Pafah1b2,420,450,408,919
Sik3,4553,4930,4151,10358
Apoa1,1,1,1,2
Zpr1,110,95,101,181
Bud13,45,59,35,75
4930448E22Rik,3,3,1,0
Gm31374,0,2,2,2
Gm47141,1,4,0,2
Gm47144,0,6,0,4
Gm31432,18,22,2,16
Gm48945,0,10,3,4
Gm31557,7,8,0,7
Gm31614,0,2,0,0
2900052N01Rik,4,0,0,7
Gm4791,0,7,0,1
Gm31816,8,10,15,30
Cadm1,2195,2464,1872,4664
Nxpe4,716,991,854,1799
Nxpe2,8,15,7,23
ENSMUSG00000121481,2,2,0,2
Rexo2,87,129,57,134
Rbm7,183,152,215,437
Gm5617,2,15,6,12
Nnmt,0,0,0,0
Zbtb16,320,313,519,1405
Usp28,251,219,217,447
Zw10,129,154,123,260
Tmprss5,7,8,13,26
Drd2,0,3,1,2
Ttc12,28,40,48,75
Ncam1,6183,6474,5754,12487
Gm11149,107,110,140,249
Rpl10-ps3,20,33,19,23
Plet1os,39,44,44,41
Plet1,7,21,59,13
Pts,153,219,284,434
Bco2,10,24,21,33
Il18,101,116,155,298
Tex12,4,1,2,4
Sdhd,61,56,70,100
Timm8b,13,19,18,4
Nkapd1,129,123,152,251
Pih1d2,34,21,49,64
Dlat,225,262,234,378
Dixdc1,805,904,1074,1787
2310030G06Rik,98,196,135,285
Hspb2,0,0,0,0
Cryab,0,0,0,0
Cfap68,225,293,370,457
Fdxacb1,16,31,35,57
Alg9,198,207,208,443
Ppp2r1b,195,238,259,534
Sik2,1745,2261,2402,5324
Layn,0,4,0,2
Hoatz,0,0,2,2
Gm32742,5,4,6,6
Pou2af1,8,11,2,11
Pou2af3,4,10,18,9
2010007H06Rik,8,22,22,24
Pou2af2,0,2,3,2
Arhgap20,2,2,1,4
Gm6980,1,1,0,4
Fdx1,37,32,37,53
Rdx,705,757,697,1409
Zc3h12c,533,558,706,1208
Gm33125,3,2,4,3
Gm1715,1,0,2,0
Ddx10,564,500,444,1021
Exph5,327,410,320,356
Poglut3,28,75,42,75
4930550C14Rik,34,48,24,64
Atm,718,545,813,1418
Npat,509,446,567,1071
Acat1,564,575,638,1021
Cul5,670,726,655,1275
Gm16124,50,91,101,124
Rab39,28,32,29,40
Elmod1,252,221,351,528
Tnfaip8l3,93,117,143,176
Dmxl2,1310,1124,909,2198
Cib2,29,35,24,35
Idh3a,53,106,68,121
Acsbg1,0,15,2,2
Dnaja4,432,396,358,612
Skic8,309,282,332,741
Ireb2,654,700,622,1384
Hykk,26,66,55,92
AY074887,2,2,1,2
Psma4,110,111,80,213
Chrnb4,1,5,5,0
Ube2q2,718,672,808,1839
Fbxo22,138,137,160,355
Nrg4,79,74,146,320
Tmem266,143,246,225,271
Etfa,385,478,407,785
Scaper,3530,3218,3571,6707
4930563M21Rik,3,2,0,2
Rcn2,134,173,200,253
Pstpip1,10,9,5,14
Tspan3,368,325,426,676
Peak1,134,127,80,153
Hmg20a,939,1272,1008,1817
Gm2296,4,5,8,5
Lingo1,5,17,2,12
Cspg4,3,2,0,7
Snx33,29,16,11,43
Imp3,15,32,13,12
Snupn,86,105,114,158
Ptpn9,840,1090,807,1758
Gm10658,17,28,22,31
Sin3a,550,543,567,1099
Gm57026,0,2,2,2
Man2c1os,49,71,95,117
Man2c1,105,110,97,191
Neil1,114,113,62,179
Commd4,42,47,48,90
Trcg1,0,3,0,0
1700017B05Rik,25,29,19,34
Ppcdc,224,222,212,435
Scamp5,266,292,252,540
Rpp25,0,1,1,0
Cox5a,106,95,125,141
Gm26631,10,7,22,21
Fam219b,36,56,39,72
Mpi,11,9,7,10
Scamp2,253,300,258,633
Ulk3,44,48,41,83
Cplx3,1,0,0,2
Lman1l,2,2,3,14
Csk,108,159,72,147
Edc3,252,337,224,493
Clk3,199,183,173,368
Gm17231,35,57,45,101
Arid3b,191,242,167,458
Ubl7,61,104,72,120
Sema7a,4,8,0,2
Ccdc33,14,26,17,23
Stra6,3,1,0,1
Islr,2,3,0,3
Pml,82,131,84,137
Stoml1,48,44,49,63
Loxl1,6,7,6,8
Cd276,44,88,67,112
Nptn,867,859,834,1703
Rec114,15,14,18,37
Hcn4,16,9,5,7
Neo1,1616,1721,1977,3700
Gm47271,18,68,59,79
Gm33053,1,0,4,4
Adpgk,98,132,92,258
Bbs4,155,189,203,365
Arih1,3471,3071,3468,9912
Gm57013,1,1,1,3
Tmem202,2,3,10,4
Hexa,194,230,239,411
Celf6,150,115,99,330
Parp6,476,688,516,924
Pkm,404,442,319,969
Gramd2,43,66,59,151
Senp8,54,123,95,125
Myo9a,2456,2349,2225,4845
Gm20275,1304,1935,1929,2684
Thsd4,274,544,561,271
9230112J17Rik,27,30,20,31
Lrrc49,447,483,389,885
Larp6,1,4,0,3
1700036A12Rik,1,0,0,0
Uaca,587,729,403,888
Gm9869,5,3,5,10
Tle3,117,90,102,244
Rplp1,116,246,226,235
Kif23,12,6,1,5
Paqr5,1,3,1,2
Glce,139,180,159,240
Anp32a,233,316,183,315
Gm57047,16,43,26,19
Coro2b,567,705,449,798
Itga11,10,9,6,16
Fem1b,134,170,122,258
Cln6,95,97,126,194
Calml4,4,1,2,11
Pias1,1653,1590,1680,3459
Skor1,2,0,2,1
Map2k5,1237,1410,1129,2388
2300009A05Rik,23,46,53,54
Gm16759,185,176,191,381
Iqch,56,57,48,65
Aagab,223,279,213,382
Smad3,117,95,92,150
Gm36033,0,2,0,0
Smad6,2,6,0,5
Zwilch,28,32,35,70
Rpl4,265,370,325,437
Snapc5,12,11,7,10
Map2k1,911,986,839,1713
Gm48855,28,34,29,62
Tipin,54,62,50,64
Dis3l,110,113,87,146
Megf11,5,6,17,10
Rab11a,277,189,249,611
Gm36459,7,5,13,13
Dennd4a,1319,1206,1273,2888
Slc24a1,0,1,1,2
Ints14,111,136,117,188
Hacd3,596,583,535,1060
Dpp8,715,829,607,1265
Gm47350,18,20,12,33
Igdcc4,24,96,83,45
Parp16,139,268,160,368
Cilp,2,0,0,2
Clpx,630,613,649,1462
Gm39363,13,7,7,62
Pdcd7,99,77,102,162
Ubap1l,14,17,9,20
Rasl12,1,6,0,2
Mtfmt,86,107,62,145
Gm47270,22,19,10,37
Spg21,105,99,94,197
Gm17749,0,2,1,0
Plekho2,23,10,0,7
Rbpms2,1,1,0,3
Oaz2,154,241,162,315
Zfp609,1224,1289,1087,2210
Trip4,428,511,474,810
Pclaf,10,7,1,10
Csnk1g1,1736,1985,2112,3721
Ppib,108,193,118,168
Snx22,2,1,0,2
Snx1,372,448,309,592
Ciao2a,14,39,13,21
Dapk2,20,11,2,12
Herc1,2446,2395,2247,4476
Gm28379,28,49,51,85
Fbxl22,20,9,15,41
Usp3,1244,1350,1210,2251
Gm15563,19,70,62,82
Car12,0,0,0,1
Aph1b,65,71,76,124
Aph1c,29,29,33,54
Rab8b,435,364,286,553
Gm40528,7,15,12,17
Rps27l,42,55,88,80
Lactb,43,50,38,100
Tpm1,435,472,627,1002
Tln2,222,131,148,256
M5C1000I18Rik,12,14,9,30
C2cd4b,211,444,209,391
Gm57018,2,7,2,8
C2cd4a,6,6,0,9
Vps13c,1174,1416,990,1933
4930502A04Rik,117,174,59,273
Rora,19341,20158,15772,35124
Gm15511,8,10,15,20
Ice2,211,300,215,436
Anxa2,5,7,3,0
Bnip2,171,243,173,400
Gtf2a2,225,241,248,542
Fam81a,121,158,164,273
Myo1e,960,772,1407,2776
Ccnb2,0,7,0,17
Rnf111,746,827,726,1550
Sltm,2023,2033,1740,3768
Mindy2,420,371,441,866
Gm10642,1,0,0,0
Adam10,607,641,607,1207
Lipc,1,1,1,5
Polr2m,116,156,154,247
Myzap,2,8,1,2
Cgnl1,3,9,4,7
Tcf12,4569,5049,5288,10152
Gm27188,14,27,20,36
Gm27253,17,33,24,50
Zfp280d,1674,2040,1964,3654
BC065403,1,1,4,2
Mns1,112,151,123,184
Tex9,172,199,188,348
4930509E16Rik,4,10,3,5
Rfx7,1610,1736,1784,3149
Gm27241,9,16,26,35
Nedd4,2499,3267,2412,4846
Prtg,3,2,3,3
Pygo1,37,51,33,81
Dnaaf4,33,33,29,60
Pierce2,10,19,11,17
Ccpg1,603,648,778,1179
Pigb,195,319,216,363
Pigbos1,10,18,7,18
Rab27a,1376,1523,1289,2914
Khdc3,6,12,2,17
Rsl24d1,61,59,43,98
Unc13c,7,0,4,2
Atosa,1095,1254,1073,2240
Arpp19,169,185,226,427
Myo5a,811,700,556,1294
Myo5c,7,2,2,12
Gnb5,235,229,182,594
Gm19531,1,0,2,7
Gm48677,21,23,28,77
Bcl2l10,3,0,4,6
Mapk6,631,348,525,1180
4933433G15Rik,38,40,48,94
Leo1,124,121,71,158
ENSMUSG00000121476,43,17,24,79
Tmod3,393,459,405,851
Tmod2,1800,2881,1779,4610
Lysmd2,65,145,66,136
Scg3,2480,3057,3153,6282
Bmp5,8,1,2,6
Gm26903,5,3,5,10
Hmgcll1,649,841,826,1415
Hcrtr2,1,7,4,2
Fam83b,71,99,108,150
Mlip,0,2,0,2
5730403I07Rik,1,2,7,3
Lrrc1,815,1076,657,1473
Gm19569,0,0,2,4
Klhl31,1,3,2,2
Gclc,249,221,241,381
Gm34654,0,1,0,0
Gm47818,0,1,0,0
Elovl5,317,368,244,588
Gm34829,1,0,1,7
Fbxo9,103,171,103,202
Cilk1,165,261,154,322
C920006O11Rik,50,51,86,183
Gsta4,2,0,1,2
Ddx43,5,6,0,2
Cgas,10,4,0,14
Gm17324,0,0,1,1
Mto1,120,117,130,292
Eef1a1,1014,1341,1041,1527
Slc17a5,213,256,276,374
Cd109,1,1,0,4
Col12a1,0,2,0,3
Cox7a2,94,88,104,198
Tmem30a,387,423,415,737
4930429F24Rik,3,9,6,12
Filip1,641,404,297,1018
Senp6,2085,2130,2060,3948
Gm17477,23,14,25,32
Myo6,1688,1835,1508,3025
Gm26713,3,0,3,2
Htr1b,0,1,0,1
D430036J16Rik,0,1,0,0
Mei4,2,5,5,5
Irak1bp1,133,116,209,242
Phip,3382,2807,3327,5557
Gm39383,13,3,12,20
Gm38398,4,0,1,4
Hmgn3,1136,1130,1117,2086
Gm29054,2,10,2,10
Gm46123,70,111,68,143
Lca5,143,174,159,302
Gm2087,8,14,16,18
